,Open,High,Low,Close,Adj Close,Volume,Returns,Daily_Return,Typical_Price,Typical_Price_Return,Volume_Log,Volume_Differencing,Volume_Differencing_10,Volumne_Percent_Change,MA_5,Volumne_MA_200,Close_EMA_50,Momentum_AwesomeOscillatorIndicator,Momentum_KAMA,Momentum_PercentagePVolumneOscillator,Momentum_ROC,Momentum_RSI,Momentum_StochRSIIndicator,Momentum_TSIIndicator,Trend_ADX,Trend_AroonIndicator,Trend_CCI,Trend_DPO,Trend_EMA,Trend_MACD,Trend_MI,Volumne_CMF,Volumne_EOM,Volumne_FI,Volumne_MFI,Volumne_VWAP,Volume_CMF,Volume_EOM,Volume_FI,Volume_MFI,Volume_VWAP,Volatility_ATR,Volatility_BB,Volatility_DonchainChannel,Volatility_UlcerIndex,Mkt-RF,SMB,HML,RF,SP500,DEXJPUS,DEXUSEU,CBBTCUSD,ADS_Index,ADS_Index
2018-10-18,61.46500015258789,61.852500915527344,59.272499084472656,59.88249969482422,59.357975006103516,52402000.0,-0.8747673034667969,-0.014629612145925286,60.33583323160807,-1.3703455714979107,17.774455316501825,19435200.0,13280000.0,0.5895385660725336,17.652980692285833,0.03494913537645039,-0.08366592664024708,-6.192139984579654,63.50179419270443,5.539347475975977,-16.388582241876513,37.47704279809505,0.24442214668800596,-20.438316220921916,18.851897205870102,-40.0,-105.3468634635348,6.093877410888666,64.2765603997352,-1.9864781754699479,26.315115050760614,-0.16659453018780082,-3.9757139876347556,-25152135.95727979,45.203574295847766,65.41886297443193,-0.16659453018780082,-3.9757139876347556,-25152135.95727979,45.203574295847766,65.41886297443193,2.260525075478804,26.13597183020063,22.298079491442444,10.741495367430266,-1.54,-0.54,0.42,0.008,2768.78,112.11,1.1494,6394.96,-0.47994,-0.47994
2018-10-19,60.439998626708984,60.63750076293945,56.92499923706055,57.29249954223633,56.790645599365234,61360800.0,-2.5673294067382812,-0.044214862486485096,58.28499984741211,-3.458140876351923,17.932281752747933,8958800.0,18697200.0,0.1709629403457884,17.655293138593738,0.21152409758328172,-0.1190375937838759,-6.343764596826894,62.72021985981564,7.636141122518081,-20.074638374748776,33.18854480868741,0.1504997623135083,-22.84767355842174,19.988002999621752,-70.0,-122.17148033601424,4.662376976013178,63.61141174664007,-2.282708765740864,26.465914526575705,-0.18974955453467465,-10.777065069183912,-37892359.32924505,44.66053706085658,64.89203365141304,-0.18974955453467465,-10.777065069183912,-37892359.32924505,44.66053706085658,64.89203365141304,2.333123897998809,28.54335780546438,24.961589874716967,11.59597058614994,-0.25,-1.33,0.71,0.008,2767.78,112.52,1.1513,6382.99,-0.479066,-0.479066
2018-10-22,57.81999969482422,58.83000183105469,56.76750183105469,57.80500030517578,57.298667907714844,36884400.0,0.5080223083496094,0.008905753754429924,57.80083465576172,-0.8341551768661581,17.423299255393122,-24476400.0,-3976800.0,-0.3988931043923808,17.619882426263214,-0.2702223518394712,-0.10726435803847711,-6.443139188429882,62.22602169647622,5.064281143520685,-17.211502686637292,34.77894752507558,0.19351905448925022,-24.187343729782498,21.087736467515036,-75.0,-112.1447820653995,2.7358713150024414,63.05842018078633,-2.447901232690249,26.597332596234487,-0.2192602930642996,-5.49392825544053,-32483250.522596575,44.50974358537957,64.57052631284729,-0.2192602930642996,-5.49392825544053,-32483250.522596575,44.50974358537957,64.57052631284729,2.319592703098869,30.310946140444972,25.3711147872686,12.354732298303299,-0.38,0.48,-1.25,0.008,2755.88,112.78,1.1467,6407.65,-0.472025,-0.472025
2018-10-23,55.10749816894531,56.04750061035156,54.1775016784668,55.26499938964844,54.780906677246094,62643600.0,-2.51776123046875,-0.0449356608228193,55.163333892822266,-4.6704724480024495,17.95297207925978,25759200.0,35293600.0,0.6983765494355336,17.712450788050283,0.24256911393489733,-0.14155889954973766,-7.089852232091566,61.35025726096884,7.299831285403785,-18.083447136259988,30.85834473582922,0.11408096084486836,-26.6591563628452,22.445776305360134,-80.0,-132.0789594728691,2.3052473068237305,62.316189629249386,-2.752050375468272,26.620700935794044,-0.21677667699280254,-8.018833392081262,-44543398.22062821,40.19535386582739,63.87119352932259,-0.21677667699280254,-8.018833392081262,-44543398.22062821,40.19535386582739,63.87119352932259,2.384987999279375,32.94542553460412,29.643461138060594,13.380735147008204,-0.62,-0.1,-0.41,0.008,2740.69,112.12,1.148,6395.14,-0.468786,-0.468786
2018-10-24,54.877498626708984,55.34749984741211,49.712501525878906,49.852500915527344,49.41583251953125,88428800.0,-5.365074157714844,-0.10307084575110315,51.63750076293945,-6.605032400735489,18.29770826640443,25785200.0,19934800.0,0.41161746770619834,17.91557075478226,0.7473207516628126,-0.21871718820633212,-8.38355081221637,59.85464447212066,12.69326199364171,-24.968953642146847,24.51617664483686,0.0,-31.348182132231884,24.1599360895957,-85.0,-157.09461470934048,3.091627311706546,61.129171656513954,-3.390747726002388,26.880522487235254,-0.2694246880450209,-16.456613393890926,-85884097.92041212,35.5413782603832,62.7036136928984,-0.2694246880450209,-16.456613393890926,-85884097.92041212,35.5413782603832,62.7036136928984,2.5474885153920663,38.472873767153786,37.09314123416066,15.020364925793698,-3.33,-0.93,0.77,0.008,2656.1,112.58,1.1389,6415.98,-0.465173,-0.465173
2018-10-25,48.86750030517578,52.4375,48.41999816894531,51.959999084472656,51.504878997802734,95172000.0,2.0890464782714844,0.041405671811078903,50.93916575113932,-1.361607516854857,18.37119633885346,6743200.0,22628400.0,0.07625569950061517,18.048136546848955,0.8737319056860711,-0.17971382330499341,-9.893058339287258,59.38774166485445,17.05073647193623,-21.729310217021418,30.50539713400886,0.3048417518458958,-32.84540548334689,25.891281432858705,-90.0,-146.686350684612,-1.1263742446899414,60.255917125843354,-3.6843911213368656,27.169231275358307,-0.17969479594196913,-8.87002706598162,-58602296.619909704,33.70192156763039,61.57446179670272,-0.17969479594196913,-8.87002706598162,-58602296.619909704,33.70192156763039,61.57446179670272,2.6209891811751973,41.58989168980337,39.601038915353804,16.237159566650867,1.93,0.42,-0.58,0.008,2705.57,112.54,1.1374,6395.58,-0.461184,-0.461184
2018-10-26,49.57749938964844,51.209999084472656,48.279998779296875,49.5724983215332,49.13827896118164,66478400.0,-2.3666000366210938,-0.047038197699028395,49.68749872843424,-2.4878725505955046,18.012387640833154,-28693600.0,5654800.0,-0.30149203547261805,18.062882884065157,0.305491396588925,-0.21067368395008157,-11.152624724893002,57.91816535924697,16.235035867713517,-19.29260803624995,27.81307842675021,0.1693489630746339,-35.02014327083012,27.547172964440882,-95.0,-146.60501567861633,-2.732248687744139,59.238448668290005,-4.062922148670019,27.356170121065826,-0.24268856647412324,-3.013592619176314,-68137052.24839394,26.886560533419555,60.303576227720924,-0.24268856647412324,-3.013592619176314,-68137052.24839394,26.886560533419555,60.303576227720924,2.6739397373752265,44.4251201793538,40.49435899387232,17.69542079265894,-1.65,0.58,0.35,0.008,2658.69,111.65,1.1388,6404.87,-0.456817,-0.456817
2018-10-29,50.997501373291016,51.032501220703125,44.002498626708984,46.404998779296875,45.99852752685547,75801600.0,-3.139751434326172,-0.06602895761372629,47.14666620890299,-5.249006631142006,18.143629958569246,9323200.0,30825600.0,0.1402440491949264,18.16842861902849,0.4827827324323395,-0.25346257060686006,-12.590198696360872,56.15304842533062,16.54907965052507,-21.05644058073342,24.69863489515565,0.01154001996138116,-37.95137410197184,29.42322266448067,-100.0,-161.9706879595525,1.4169982910156236,58.01621534552876,-4.565868960933713,27.663470323482425,-0.28655516561547817,-20.65830247068098,-84514621.87243083,20.208020796324604,58.70678473278862,-0.28655516561547817,-20.65830247068098,-84514621.87243083,20.208020796324604,58.70678473278862,2.891742880206172,47.22770278665925,48.469732970051275,19.372722634888618,-0.77,-0.33,1.62,0.008,2641.25,112.49,1.139,6266.0,-0.441297,-0.441297
2018-10-30,46.63750076293945,50.849998474121094,46.404998779296875,50.75,50.30545425415039,80719200.0,4.306926727294922,0.0895041200122475,49.334999084472656,4.537044923990052,18.20648702315774,4917600.0,39848000.0,0.06487462006079037,18.21390254672442,0.577360201353823,-0.17764142549460082,-13.354552010928884,55.578087701520104,17.111167948790307,-17.66041797348496,35.3869588509468,0.6875493074999518,-36.39011963923099,31.205469879518468,-90.0,-121.34613695055633,-0.32949867248535014,57.324194836430785,-4.561273130019451,27.960065947637084,-0.18145664264648978,6.112478686735375,-43063227.16703936,21.708066198085334,57.575929510242034,-0.18145664264648978,6.112478686735375,-43063227.16703936,21.708066198085334,57.575929510242034,2.9694057209370746,46.56012104453174,47.99787104894025,20.4423528265433,1.66,0.42,0.08,0.008,2682.63,112.76,1.1364,6267.63,-0.435125,-0.435125
2018-10-31,52.412498474121094,53.147499084472656,51.002498626708984,52.70750045776367,52.245826721191406,74577200.0,1.9403724670410156,0.03784651058702382,52.28583272298177,5.8091699785357775,18.127345388432804,-6142000.0,41610400.0,-0.07609094242757608,18.179241848819288,0.4543906597857508,-0.141005189041554,-12.97290527119356,55.39604371968979,16.551543346586662,-10.429944150940266,39.54990147277502,0.9508448332985745,-33.656826821856,32.231256899366485,-90.0,-76.41886525311507,3.231750679016116,56.88450965751011,-4.349538204552545,28.150778308539383,-0.1421699088805534,9.915751153290687,-25058643.32839438,27.068672997885386,56.852230900464576,-0.1421699088805534,9.915751153290687,-25058643.32839438,27.068672997885386,56.852230900464576,2.940810389113854,43.887322443440766,47.33301241807356,21.16343020205459,1.22,-0.66,-0.74,0.008,2711.74,112.86,1.1332,6304.18,-0.428427,-0.428427
